datetime,date,hour,ptf,ptf_kesinlesmis,gop_fiyattan_bagimsiz_alis,gop_fiyattan_bagimsiz_satis,price_independent_buy_sell_ratio,load_forecast_plan,wind_generation,solar_generation,hydro_dam_generation,real_time_consumption,grf_tl,unlicensed_generation_total,smf,usd_try
2025-01-01 00:00:00,2025-01-01,0,2494.0,2494.0,20349.2,13158.5,1.5464680624691265,32297.0,2281.27,0.0,5510.01,32707.51,12640.0,54.1072,2494.0,
2025-01-01 01:00:00,2025-01-01,1,1799.98,1799.98,19534.3,12233.1,1.5968397217385617,30678.0,2053.07,0.0,4552.08,31196.05,12640.0,54.09,1799.98,
2025-01-01 02:00:00,2025-01-01,2,1692.99,1692.99,19081.4,11883.7,1.60567836616542,28892.0,2023.25,0.0,3531.08,29674.85,12640.0,56.304,1692.99,
2025-01-01 03:00:00,2025-01-01,3,2244.99,2244.99,18877.1,11317.1,1.6680156577215008,27699.0,2122.76,0.0,2599.5,28490.58,12640.0,55.749,1847.0,
2025-01-01 04:00:00,2025-01-01,4,2400.01,2400.01,18789.9,11248.5,1.6704360581410855,27015.0,2103.05,0.0,2275.22,28012.95,12640.0,56.1613,2210.01,
2025-01-01 05:00:00,2025-01-01,5,2680.0,2680.0,18838.6,11223.0,1.6785707921233182,26890.0,2009.99,0.01,2102.62,27879.66,12640.0,59.2151,2680.0,
2025-01-01 06:00:00,2025-01-01,6,2989.99,2989.99,20182.5,11665.5,1.73010158158673,27185.0,1876.58,0.91,2068.89,28192.02,12640.0,89.2452,2990.0,
2025-01-01 07:00:00,2025-01-01,7,2979.99,2979.99,20356.4,11870.4,1.7148874511389678,27415.0,1788.03,18.21,2707.46,28743.58,12640.0,188.9621,1847.0,
2025-01-01 08:00:00,2025-01-01,8,3000.0,3000.0,21169.7,12230.4,1.730908228676086,28192.0,1781.05,284.38,2473.75,29101.85,12640.0,1036.7987,1847.0,
2025-01-01 09:00:00,2025-01-01,9,2600.01,2600.01,21139.1,13030.4,1.6222909503929273,30271.0,1726.6,1193.82,2300.93,30100.08,12640.0,3721.7799,675.0,
2025-01-01 10:00:00,2025-01-01,10,1350.0,1350.0,21171.5,14495.6,1.4605466486382075,32491.0,1730.77,1720.84,2878.57,31868.47,12640.0,6883.0902,4.0,
2025-01-01 11:00:00,2025-01-01,11,1799.98,1799.98,21491.0,15190.7,1.4147471808409091,34537.0,1589.74,1776.49,2422.54,33388.06,12640.0,8990.6575,5.0,
2025-01-01 12:00:00,2025-01-01,12,1000.0,1000.0,21295.2,15932.7,1.3365719557890376,35203.0,1497.71,1736.83,2254.57,34049.89,12640.0,9940.8902,0.79,
2025-01-01 13:00:00,2025-01-01,13,1512.63,1512.63,21532.8,15681.4,1.3731427040952977,35794.0,1380.96,1692.8,2726.74,34287.83,12640.0,9813.6194,4.0,
2025-01-01 14:00:00,2025-01-01,14,2005.01,2005.01,21745.5,14767.7,1.4725041814229702,35897.0,1300.75,1711.16,3060.49,34141.29,12640.0,8428.2572,310.0,
2025-01-01 15:00:00,2025-01-01,15,2283.04,2283.04,22784.5,13093.8,1.7400983671661399,35798.0,1227.42,1504.72,3554.16,34313.83,12640.0,5851.2416,650.0,
2025-01-01 16:00:00,2025-01-01,16,3000.0,3000.0,24863.4,11191.1,2.2217118960602624,36570.0,1297.83,626.32,4660.0,35729.56,12640.0,2553.7674,1000.0,
2025-01-01 17:00:00,2025-01-01,17,3000.0,3000.0,26933.1,10643.9,2.5303789024699594,38182.0,1396.96,39.94,7219.64,38584.84,12640.0,619.5499,3000.0,
2025-01-01 18:00:00,2025-01-01,18,3000.0,3000.0,27181.4,10741.9,2.530408959308875,38968.0,1519.16,0.14,8721.77,40034.18,12640.0,71.9335,3000.0,
2025-01-01 19:00:00,2025-01-01,19,3000.0,3000.0,26621.7,10677.2,2.493322219308433,38447.0,1590.15,0.01,8615.66,39610.35,12640.0,50.4744,3000.0,
2025-01-01 20:00:00,2025-01-01,20,3000.0,3000.0,25721.8,10666.5,2.4114564290067033,37674.0,1737.19,0.01,8120.49,38912.16,12640.0,48.9611,3000.0,
2025-01-01 21:00:00,2025-01-01,21,3000.0,3000.0,24999.5,10256.1,2.4375249851308003,36853.0,1780.88,0.01,7285.82,38071.58,12640.0,50.1944,3000.0,
2025-01-01 22:00:00,2025-01-01,22,2399.99,2399.99,21802.2,10154.9,2.146963534845247,36302.0,1742.58,0.01,7120.37,36920.29,12640.0,51.2842,1847.0,
2025-01-01 23:00:00,2025-01-01,23,2274.0,2274.0,21195.4,10139.9,2.090296748488644,34900.0,1697.39,0.01,6102.62,35384.59,12640.0,51.8185,2084.0,
2025-01-02 00:00:00,2025-01-02,0,2634.45,2634.45,21368.2,10994.6,1.9435177268841068,37301.0,1755.12,0.01,4632.86,33561.92,12623.6,24.0178,1837.0,35.318
2025-01-02 01:00:00,2025-01-02,1,2583.43,2583.43,20608.4,10170.3,2.026331573306589,34688.0,1726.98,0.01,3419.88,31767.82,12623.6,22.0693,1837.0,35.318
2025-01-02 02:00:00,2025-01-02,2,2144.99,2144.99,20042.7,10337.7,1.9387968310165704,33046.0,1844.06,0.01,2921.86,30555.63,12623.6,24.137,2499.0,35.318
2025-01-02 03:00:00,2025-01-02,3,2112.78,2112.78,20031.5,10104.6,1.9824139500821407,32201.0,2003.45,0.01,2176.89,30020.75,12623.6,25.5094,2416.93,35.318
2025-01-02 04:00:00,2025-01-02,4,1799.98,1799.98,20015.8,10303.3,1.9426591480399484,31941.0,2202.29,0.01,2285.14,29997.08,12623.6,26.396,2223.34,35.318
2025-01-02 05:00:00,2025-01-02,5,1889.99,1889.99,20556.1,10656.9,1.9289005245427844,32086.0,2382.22,0.02,2206.16,30346.77,12623.6,29.1486,2313.35,35.318
2025-01-02 06:00:00,2025-01-02,6,2482.22,2482.22,23189.2,11515.0,2.013825445071646,33290.0,2533.88,1.63,1694.4,31822.64,12623.6,54.1262,2506.15,35.318
2025-01-02 07:00:00,2025-01-02,7,2900.01,2900.01,26664.3,12239.0,2.178633875316611,37070.0,2616.26,19.95,2573.08,35518.12,12623.6,177.3391,2900.01,35.318
2025-01-02 08:00:00,2025-01-02,8,3000.0,3000.0,31164.2,12098.1,2.5759582083137023,43261.0,2855.88,261.32,5992.39,41803.24,12623.6,1014.0103,3000.0,35.318
2025-01-02 09:00:00,2025-01-02,9,3000.0,3000.0,31758.7,12700.5,2.5005865910790916,45672.0,3204.33,999.21,6098.48,44488.35,12623.6,3416.0954,3000.0,35.318
2025-01-02 10:00:00,2025-01-02,10,2594.58,2594.58,30636.3,14303.9,2.1418144701794617,46213.0,3291.33,1763.53,3306.71,44830.36,12623.6,6140.742,1837.0,35.318
2025-01-02 11:00:00,2025-01-02,11,2505.65,2505.65,29794.1,14670.7,2.0308574232995014,46262.0,3337.4,1854.25,3073.56,45004.36,12623.6,7982.2181,1000.0,35.318
2025-01-02 12:00:00,2025-01-02,12,1999.99,1999.99,28336.6,15271.8,1.8554852735106535,44963.0,3377.93,1789.88,2414.46,43246.44,12623.6,8787.2394,700.0,35.318
2025-01-02 13:00:00,2025-01-02,13,2112.78,2112.78,28823.8,14721.0,1.9580055702737584,44854.0,3376.78,1822.13,2574.99,43330.9,12623.6,8497.4731,699.99,35.318
2025-01-02 14:00:00,2025-01-02,14,2594.0,2594.0,29330.6,14082.0,2.0828433461156086,44901.0,3308.91,1783.02,2918.89,43891.72,12623.6,7146.1333,1000.0,35.318
2025-01-02 15:00:00,2025-01-02,15,2728.85,2728.85,30102.3,13544.0,2.2225561134081513,44627.0,3325.89,1564.32,3829.62,43853.05,12623.6,4933.9844,1000.0,35.318
2025-01-02 16:00:00,2025-01-02,16,3000.0,3000.0,31489.6,11920.3,2.6416784812462772,44637.0,3506.02,657.16,6336.71,45359.6,12623.6,2161.1962,3000.0,35.318
2025-01-02 17:00:00,2025-01-02,17,3000.0,3000.0,32497.6,11880.0,2.7354882154882154,44982.0,3983.94,41.09,9929.84,46988.34,12623.6,328.4245,3000.0,35.318
2025-01-02 18:00:00,2025-01-02,18,3000.0,3000.0,31019.1,12053.9,2.573366296385402,44500.0,4728.57,0.12,9048.57,46217.46,12623.6,59.1447,3000.0,35.318
2025-01-02 19:00:00,2025-01-02,19,2949.99,2949.99,29936.8,12155.9,2.4627382587879136,43330.0,5187.67,0.01,7089.16,45006.66,12623.6,43.7081,2999.0,35.318
2025-01-02 20:00:00,2025-01-02,20,2777.77,2777.77,28675.5,12362.7,2.3195175811109223,41998.0,5546.99,0.01,6080.81,43525.39,12623.6,43.8572,2998.0,35.318
2025-01-02 21:00:00,2025-01-02,21,2749.8,2749.8,27602.4,12209.9,2.260657335440913,40723.0,5852.7,0.01,5663.85,42423.45,12623.6,40.8184,2999.0,35.318
2025-01-02 22:00:00,2025-01-02,22,2266.73,2266.73,24098.9,12322.7,1.9556509531190405,39382.0,5991.49,0.01,6691.73,40899.0,12623.6,40.8024,2599.0,35.318
2025-01-02 23:00:00,2025-01-02,23,2294.0,2294.0,23040.2,12210.8,1.886870639106365,37750.0,6016.45,0.01,6329.64,38900.97,12623.6,40.9108,2717.36,35.318
2025-01-03 00:00:00,2025-01-03,0,2706.39,2706.39,21347.0,13285.0,1.6068498306360557,36580.0,6227.14,0.01,4669.23,36411.39,12558.36,45.0661,2999.0,35.368
2025-01-03 01:00:00,2025-01-03,1,2549.98,2549.98,20568.6,12626.3,1.6290282980762376,34218.0,6307.17,2.01,3619.06,34478.68,12558.36,46.296,2575.27,35.368
2025-01-03 02:00:00,2025-01-03,2,2400.0,2400.0,20053.4,12491.2,1.6054022031510184,32701.0,6349.88,0.01,2690.82,33100.5,12558.36,40.7461,2554.29,35.368
2025-01-03 03:00:00,2025-01-03,3,1923.11,1923.11,19729.6,12614.6,1.5640289822903617,31929.0,6314.8,0.01,2525.63,32232.74,12558.36,43.0811,2323.11,35.368
2025-01-03 04:00:00,2025-01-03,4,1799.98,1799.98,19738.4,13220.8,1.4929807575940943,31759.0,6513.91,0.01,2651.56,32136.44,12558.36,49.4389,2377.98,35.368
2025-01-03 05:00:00,2025-01-03,5,1957.64,1957.64,20197.5,13493.0,1.496887274883273,31986.0,6765.86,0.02,2571.27,32490.44,12558.36,56.2366,2381.0,35.368
2025-01-03 06:00:00,2025-01-03,6,2200.01,2200.01,22780.1,13949.8,1.6330054911181522,33062.0,6772.53,1.91,2151.38,33712.36,12558.36,75.3734,2600.01,35.368
2025-01-03 07:00:00,2025-01-03,7,2524.99,2524.99,25530.8,14387.8,1.7744755973811146,35970.0,6819.18,19.35,2771.03,37017.04,12558.36,137.7771,2199.99,35.368
2025-01-03 08:00:00,2025-01-03,8,3000.0,3000.0,29790.7,14364.4,2.0739258166021552,42385.0,6985.31,230.5,5584.08,42524.14,12558.36,771.5368,3000.0,35.368
2025-01-03 09:00:00,2025-01-03,9,3000.0,3000.0,30320.5,14828.0,2.044813865659563,45619.0,7078.68,1084.13,5706.36,45139.97,12558.36,2739.6557,3000.0,35.368
2025-01-03 10:00:00,2025-01-03,10,2584.0,2584.0,28980.9,15749.1,1.840162294988285,46308.0,6910.09,1642.97,4094.98,45835.99,12558.36,5131.8735,2999.0,35.368
2025-01-03 11:00:00,2025-01-03,11,2507.15,2507.15,28213.2,16508.1,1.7090519199665621,46411.0,7004.0,1707.74,3821.0,46063.32,12558.36,6737.2673,2930.51,35.368
2025-01-03 12:00:00,2025-01-03,12,1424.1,1424.1,26254.0,17418.9,1.5072134290913892,44697.0,7351.19,1720.63,2858.48,43643.0,12558.36,7563.0468,1750.32,35.368
2025-01-03 13:00:00,2025-01-03,13,1424.1,1424.1,26600.1,17216.7,1.5450173378173515,44407.0,7700.73,1672.65,2340.49,42247.76,12558.36,7208.2977,700.0,35.368
2025-01-03 14:00:00,2025-01-03,14,2384.0,2384.0,27740.4,15910.8,1.743494984538804,44748.0,7737.57,1682.79,2744.49,43976.42,12558.36,5926.1365,1736.0,35.368
2025-01-03 15:00:00,2025-01-03,15,2080.0,2080.0,28092.4,15549.0,1.8067013955881408,44326.0,7655.53,1474.39,4043.39,44040.05,12558.36,3797.3146,1847.0,35.368
2025-01-03 16:00:00,2025-01-03,16,2853.85,2853.85,29407.7,13925.2,2.1118332232212103,44255.0,7743.84,614.87,5239.09,45233.43,12558.36,1520.3505,1847.0,35.368
