forecast_horizon,MAE,RMSE,SMAPE,R2
1,451.042049054458,644.5852319701459,31.047424642366657,0.6134449965951672
2,521.7347216892385,718.0964327794438,33.754742789710065,0.5202466916629145
3,568.9491695597965,771.023373911263,35.450926783085905,0.4469439463417243
4,585.5529084995152,794.3036441792467,35.92063741235422,0.4130603983903668
5,589.5096842084055,799.7175008742374,36.073588234176434,0.40505538655610673
6,594.3560274492341,806.1531554268092,36.25728072236792,0.3954570070025072
7,596.5049633037801,809.230605114601,36.34031881971288,0.3908432468461459
8,598.6507389938024,812.3241786020058,36.42091969342086,0.38618066374684357
9,601.8015058150594,816.7101658595167,36.53370657860558,0.37957216307200414
10,604.7111242234381,821.0250941280144,36.632326505527644,0.3729947923774878
11,606.595264664936,823.8377740750109,36.69702174388117,0.36872838423390364
12,608.0092012854607,826.0375304649024,36.741542087860566,0.36530094920743095
