forecast_horizon,MAE,RMSE,SMAPE,R2
1,544.8587080537872,780.2158519774176,48.17583436369029,0.5837097965549303
2,548.209639331632,782.5567388620003,50.298889539880534,0.5865820880330039
3,551.467069857971,781.7271613781072,53.58852446592072,0.5883966553065438
4,556.5204536783851,784.5320576803283,55.57746619952494,0.5848478212644522
5,542.3490658737917,777.7032203686714,55.70373958019626,0.584502237096991
6,556.8325758401223,779.2409155459613,58.7476413489904,0.5782450748421376
7,552.8461479128571,787.9545460204572,58.66631619418452,0.5697660510410698
8,554.5624910571732,784.5353218338435,60.11465536836492,0.5794371929143401
9,557.8112649702072,790.0107879467254,59.62236194107579,0.5804673789068306
10,577.245637347201,807.6264769435421,59.90359734663732,0.5683187859863515
11,602.2736941046455,831.7531996836635,61.870869112799745,0.5484496153794891
12,627.0529443664241,852.0871739738675,63.42550903139027,0.5324863748562003
