issue_datetime,target_datetime,forecast_horizon,predicted_ptf,kesin_seasonal_anchor,interim_anchor
2024-12-29 23:00:00,2024-12-30 00:00:00,1,2494.01,2494.01,2549.01
2024-12-29 23:00:00,2024-12-30 01:00:00,2,2305.0,2305.0,2549.01
2024-12-29 23:00:00,2024-12-30 02:00:00,3,2299.09,2299.09,2549.01
2024-12-29 23:00:00,2024-12-30 03:00:00,4,1799.98,1799.98,2549.01
2024-12-29 23:00:00,2024-12-30 04:00:00,5,1799.97,1799.97,2549.01
2024-12-29 23:00:00,2024-12-30 05:00:00,6,1378.3712300576196,1274.99,2549.01
2024-12-29 23:00:00,2024-12-30 06:00:00,7,1419.9,1419.9,2549.01
2024-12-29 23:00:00,2024-12-30 07:00:00,8,1133.045786044833,1000.0,2549.01
2024-12-29 23:00:00,2024-12-30 08:00:00,9,1419.89,1419.89,2549.01
2024-12-29 23:00:00,2024-12-30 09:00:00,10,1419.9,1419.9,2549.01
2024-12-29 23:00:00,2024-12-30 10:00:00,11,1622.6391566001785,1500.0,2549.01
2024-12-29 23:00:00,2024-12-30 11:00:00,12,2310.2246178871283,1419.9,2549.01
